Plot,Replicate,Pesticide.initial,Nitrogen.initial,richness,ANVI.outcome,PAAN.outcome,SCIN.outcome,SEPA.outcome,SOPI.outcome,TRFL.outcome,AvgHeight,Duration,AvgBD,Trees2015,rich_colherbs
2_29,2,Unsprayed,Unfertilized,Polyculture,1,1,1,0,1,1,1.207,0,19.9,1,10
2_3,2,Unsprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,11
2_32,2,Unsprayed,Fertilized,Monoculture,0,0,1,0,0,0,1.02,0,22.8,1,6
2_33,2,Unsprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,8
2_34,2,Unsprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,14
2_35,2,Unsprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,6
2_36,2,Sprayed,Fertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,6
2_38,2,Sprayed,Fertilized,Monoculture,0,0,0,0,0,1,1.611,0,45.3,1,12
2_39,2,Unsprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,11
2_4,2,Unsprayed,Fertilized,Polyculture,1,0,1,1,1,1,1.716,1,38.2,1,7
2_40,2,Sprayed,Fertilized,Monoculture,0,0,0,0,1,0,0.641,0,8,1,7
2_41,2,Unsprayed,Fertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,8
2_44,2,Sprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,7
2_46,2,Sprayed,Fertilized,Monoculture,0,0,1,0,0,0,0.615,0,11.8,1,11
2_48,2,Sprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,9
2_49,2,Unsprayed,Fertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,5
2_5,2,Unsprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,10
2_51,2,Unsprayed,Fertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,7
2_52,2,Sprayed,Fertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,7
2_53,2,Sprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,6
2_54,2,Sprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,14
2_55,2,Sprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,12
2_56,2,Unsprayed,Fertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,6
2_57,2,Unsprayed,Fertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,5
2_58,2,Unsprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0.161,3,2.7,1,14
2_59,2,Sprayed,Fertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,9
2_6,2,Sprayed,Fertilized,Polyculture,1,1,1,0,1,1,1.59,2,30.3,1,5
2_61,2,Unsprayed,Unfertilized,Monoculture,0,0,1,0,0,0,1.234,2,22.4,1,13
2_62,2,Unsprayed,Unfertilized,Monoculture,0,0,0,0,0,1,0.395,2,3.4,1,11
2_63,2,Sprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,4
2_64,2,Unsprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,4
2_8,2,Sprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,8
2_9,2,Sprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,8
3_1,3,Unsprayed,Unfertilized,Monoculture,0,0,0,0,1,0,0,2,0,0,8
3_10,3,Sprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,4
3_11,3,Sprayed,Fertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,4
3_13,3,Sprayed,Fertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,10
3_15,3,Sprayed,Unfertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,10
3_16,3,Unsprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,9
3_17,3,Unsprayed,Fertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,6
3_18,3,Sprayed,Fertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,9
3_19,3,Sprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,9
3_2,3,Sprayed,Unfertilized,Monoculture,0,0,0,0,0,1,1.002,2,16.2,1,8
3_20,3,Sprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,5
3_21,3,Unsprayed,Fertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,7
3_22,3,Unsprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,7
3_23,3,Sprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,8
3_24,3,Unsprayed,Fertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,5
3_25,3,Unsprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,2,0,0,9
3_26,3,Sprayed,Fertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,4
3_28,3,Unsprayed,Fertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,6
3_29,3,Sprayed,Unfertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,6
3_3,3,Unsprayed,Unfertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,7
3_31,3,Unsprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,8
3_37,3,Unsprayed,Unfertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,7
3_38,3,Sprayed,Fertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,5
3_40,3,Sprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,6
3_42,3,Unsprayed,Fertilized,Polyculture,1,1,1,0,1,1,0,1,0,0,5
3_43,3,Sprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,11
3_44,3,Sprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,5
3_45,3,Unsprayed,Fertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,5
3_46,3,Unsprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,11
3_47,3,Unsprayed,Unfertilized,Polyculture,1,1,1,1,1,0,0.434,3,7.1,1,8
3_48,3,Unsprayed,Fertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,7
3_49,3,Unsprayed,Fertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,7
3_5,3,Sprayed,Unfertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,6
3_50,3,Unsprayed,Fertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,5
3_51,3,Unsprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,6
3_52,3,Unsprayed,Fertilized,Monoculture,0,0,0,0,1,0,0,1,0,0,4
3_54,3,Sprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,4
3_55,3,Unsprayed,Unfertilized,Polyculture,1,1,1,0,1,1,1.056,0,23.3,1,12
3_56,3,Sprayed,Unfertilized,Polyculture,1,1,1,0,1,1,1.189,0,21.1,1,6
3_57,3,Sprayed,Fertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,4
3_58,3,Unsprayed,Unfertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,9
3_59,3,Sprayed,Fertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,5
3_6,3,Sprayed,Unfertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,10
3_61,3,Sprayed,Fertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,4
3_62,3,Unsprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,5
3_63,3,Sprayed,Fertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,6
3_7,3,Unsprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0.806,3,10.9,1,9
3_9,3,Sprayed,Fertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,5
4_10,4,Sprayed,Unfertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,5
4_11,4,Sprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,10
4_12,4,Unsprayed,Fertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,7
4_13,4,Unsprayed,Fertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,4
4_14,4,Unsprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,3
4_17,4,Unsprayed,Unfertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,6
4_18,4,Unsprayed,Fertilized,Monoculture,0,0,0,0,1,0,0,1,0,0,8
4_19,4,Sprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,8
4_2,4,Sprayed,Fertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,4
4_20,4,Sprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,7
4_21,4,Unsprayed,Unfertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,13
4_22,4,Unsprayed,Unfertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,10
4_23,4,Unsprayed,Unfertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,7
4_24,4,Unsprayed,Fertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,5
4_26,4,Sprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,7
4_27,4,Unsprayed,Unfertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,7
4_28,4,Sprayed,Fertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,7
4_29,4,Unsprayed,Unfertilized,Polyculture,1,1,1,1,1,0,0,2,0,0,6
4_30,4,Sprayed,Unfertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,9
4_31,4,Unsprayed,Fertilized,Monoculture,0,1,0,0,0,0,0.473,0,6.1,1,7
4_33,4,Sprayed,Fertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,4
4_34,4,Sprayed,Fertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,7
4_35,4,Unsprayed,Fertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,9
4_36,4,Sprayed,Fertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,10
4_38,4,Sprayed,Fertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,4
4_4,4,Unsprayed,Unfertilized,Polyculture,1,1,1,0,1,1,0.572,3,8.2,1,6
4_40,4,Sprayed,Fertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,3
4_41,4,Unsprayed,Fertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,8
4_42,4,Sprayed,Unfertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,8
4_43,4,Unsprayed,Fertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,6
4_45,4,Unsprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,3
4_46,4,Sprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,5
4_47,4,Sprayed,Fertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,6
4_49,4,Unsprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0,1,0,0,11
4_5,4,Unsprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,8
4_51,4,Sprayed,Fertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,7
4_54,4,Sprayed,Unfertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,6
4_55,4,Unsprayed,Fertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,8
4_56,4,Unsprayed,Unfertilized,Polyculture,1,0,1,1,1,1,0.8205,1,9.33,2,9
4_57,4,Sprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,8
4_59,4,Sprayed,Fertilized,Monoculture,0,0,0,1,0,0,0,0,0,0,5
4_6,4,Unsprayed,Unfertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,9
4_60,4,Sprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,8
4_61,4,Sprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,6
4_64,4,Sprayed,Unfertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,5
4_7,4,Sprayed,Unfertilized,Monoculture,0,0,0,0,0,1,0,0,0,0,7
4_8,4,Unsprayed,Unfertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,7
4_9,4,Unsprayed,Fertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,7
5_1,5,Unsprayed,Fertilized,Polyculture,1,1,1,0,1,1,0,0,0,0,5
5_10,5,Sprayed,Unfertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,6
5_11,5,Unsprayed,Fertilized,Polyculture,0,1,1,1,1,1,1.465,1,36.8,1,3
5_12,5,Sprayed,Unfertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,7
5_13,5,Unsprayed,Unfertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,7
5_17,5,Sprayed,Fertilized,Monoculture,0,0,1,0,0,0,0,0,0,0,2
5_18,5,Sprayed,Unfertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,8
5_19,5,Sprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,4
5_20,5,Unsprayed,Fertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,9
5_21,5,Unsprayed,Fertilized,Polyculture,1,1,1,1,0,1,0,0,0,0,4
5_23,5,Unsprayed,Fertilized,Monoculture,1,0,0,0,0,0,0,0,0,0,10
5_24,5,Sprayed,Fertilized,Polyculture,0,1,1,1,1,1,0,0,0,0,5
5_25,5,Unsprayed,Unfertilized,Monoculture,0,1,0,0,0,0,0.8865,0,14.100000000000001,2,10
5_26,5,Sprayed,Fertilized,Polyculture,1,1,1,1,1,0,0,0,0,0,5
5_27,5,Unsprayed,Unfertilized,Polyculture,1,1,0,1,1,1,0,0,0,0,6
5_29,5,Sprayed,Fertilized,Monoculture,0,1,0,0,0,0,0,0,0,0,7
5_3,5,Sprayed,Fertilized,Monoculture,0,0,0,0,1,0,0,0,0,0,5
5_31,5,Sprayed,Fertilized,Polyculture,1,0,1,1,1,1,0,0,0,0,4
