plot_num = unique ID for each plot in the experiment,,,,,,,,
blk = spatial block (numbered 1-5),,,,,,,,
"consumers = presence of aboveground fungal pathogens and insect herbivores in a plot (2 levels); sprayed with fungicide and insecticide, unsprayed (i.e., control)  ",,,,,,,,
"nutrients = nutrient supply to plots (2 levels); fertilized with NPK (10 g nutrients m-2 yr-1), unfertilized (i.e., control)",,,,,,,,
richness = initial richness of plots (2 levels); planted as either monocultures (1 species) or polycultures (5 species),,,,,,,,
community_comp = one of 12 possible community compositions (6 monocultures; 6 5-species polycultures),,,,,,,,
basal_diameter = diameter of tree (in mm),,,,,,,,
height = height of tree (in m),,,,,,,,
"year_est = year in which P taeda first colonized each plot; 0 = 2012, 3 = 2015; NA's indicate that the cover subplot was never colonized and thus, there is no record of initial establishment date",,,,,,,,
,,,,,,,,
"Some plots contained multiple trees, and thus, have multiple lines of data here",,,,,,,,
,,,,,,,,
plot_num,blk,consumers,nutrients,richness,community_comp,basal_diameter,height,year_est
4_56,4,Unsprayed,Unfertilized,Polyculture,Polyculture_PAAN,17.8,0.982,1
5_11,5,Unsprayed,Fertilized,Polyculture,Polyculture_ANVI,36.8,1.465,1
5_25,5,Unsprayed,Unfertilized,Monoculture,Monoculture_PAAN,9.4,0.639,0
5_25,5,Unsprayed,Unfertilized,Monoculture,Monoculture_PAAN,18.8,1.134,0
5_4,5,Unsprayed,Unfertilized,Monoculture,Monoculture_TRFL,28.2,1.282,0
5_4,5,Unsprayed,Unfertilized,Monoculture,Monoculture_TRFL,20.6,1.085,0
5_46,5,Unsprayed,Unfertilized,Polyculture,Polyculture_PAAN,23.4,0.994,1
5_47,5,Sprayed,Fertilized,Monoculture,Monoculture_ANVI,1.9,0.126,3
5_5,5,Sprayed,Unfertilized,Monoculture,Monoculture_TRFL,26.1,1.192,0
5_56,5,Unsprayed,Unfertilized,Polyculture,Polyculture_SOPI,13,0.655,1
5_58,5,Unsprayed,Unfertilized,Polyculture,Polyculture_TRFL,11.9,0.785,3
5_59,5,Unsprayed,Unfertilized,Polyculture,Polyculture_ANVI,2.3,0.22,2
5_6,5,Sprayed,Fertilized,Monoculture,Monoculture_TRFL,33.1,1.48,0
