plot_num = unique ID for each plot in the experiment,,,,,,,,,,
blk = spatial block (numbered 1-5),,,,,,,,,,
"consumers = presence of aboveground fungal pathogens and insect herbivores in a plot (2 levels); sprayed with fungicide and insecticide, unsprayed (i.e., control)  ",,,,,,,,,,
"nutrients = nutrient supply to plots (2 levels); fertilized with NPK (10 g nutrients m-2 yr-1), unfertilized (i.e., control)",,,,,,,,,,
richness = initial richness of plots (2 levels); planted as either monocultures (1 species) or polycultures (5 species),,,,,,,,,,
community_comp = one of 12 possible community compositions (6 monocultures; 6 5-species polycultures),,,,,,,,,,
month = month of experiment in which measurements were taken (September 2012 - September 2015),,,,,,,,,,
"year_cont = year in which measurements were taken; 0 = 2012, 3 = 2015",,,,,,,,,,
"tree_presence = status of trees in plot during each year; 0 = no trees present, 1 = at least one tree species present",,,,,,,,,,
rich_colherbs = number of colonizing herbaceous species present in a plot each year,,,,,,,,,,
"pinus_presence = status of P. taeda in plot during each year; 0 = no P. taeda present, 1 = P. taeda present",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
plot_num,blk,consumers,nutrients,richness,community_comp,month,year_cont,tree_presence,rich_colherbs,pinus_presence
1_63,1,Unsprayed,Unfertilized,Polyculture,PAAN_Polyculture,Sep-12,0,0,10,0
1_64,1,Unsprayed,Unfertilized,Monoculture,TRFL_Monoculture,Sep-12,0,0,12,0
1_7,1,Sprayed,Unfertilized,Polyculture,ANVI_Polyculture,Sep-12,0,0,12,0
1_8,1,Sprayed,Unfertilized,Polyculture,TRFL_Polyculture,Sep-12,0,1,10,1
2_1,2,Unsprayed,Unfertilized,Polyculture,TRFL_Polyculture,Sep-12,0,0,8,0
2_10,2,Unsprayed,Fertilized,Monoculture,SEPA_Monoculture,Sep-12,0,0,15,0
2_12,2,Sprayed,Fertilized,Polyculture,ANVI_Polyculture,Sep-12,0,0,9,0
2_14,2,Sprayed,Unfertilized,Monoculture,SCIN_Monoculture,Sep-12,0,1,12,1
2_15,2,Sprayed,Unfertilized,Polyculture,TRFL_Polyculture,Sep-12,0,1,7,1
2_16,2,Sprayed,Unfertilized,Monoculture,SOPI_Monoculture,Sep-12,0,0,13,0
2_2,2,Unsprayed,Unfertilized,Monoculture,SOPI_Monoculture,Sep-12,0,0,12,0
2_20,2,Unsprayed,Fertilized,Monoculture,PAAN_Monoculture,Sep-12,0,1,14,1
2_21,2,Sprayed,Unfertilized,Polyculture,SCIN_Polyculture,Sep-12,0,1,12,1
2_22,2,Sprayed,Fertilized,Monoculture,PAAN_Monoculture,Sep-12,0,1,11,1
2_23,2,Sprayed,Unfertilized,Polyculture,SEPA_Polyculture,Sep-12,0,1,5,0
2_24,2,Unsprayed,Fertilized,Polyculture,SEPA_Polyculture,Sep-12,0,1,9,1
2_25,2,Sprayed,Fertilized,Polyculture,SCIN_Polyculture,Sep-12,0,0,8,0
2_26,2,Unsprayed,Unfertilized,Polyculture,SCIN_Polyculture,Sep-12,0,0,7,0
2_27,2,Sprayed,Unfertilized,Monoculture,TRFL_Monoculture,Sep-12,0,0,7,0
2_29,2,Unsprayed,Unfertilized,Polyculture,SEPA_Polyculture,Sep-12,0,0,8,0
2_3,2,Unsprayed,Unfertilized,Monoculture,SEPA_Monoculture,Sep-12,0,0,11,0
2_32,2,Unsprayed,Fertilized,Monoculture,SCIN_Monoculture,Sep-12,0,0,11,0
2_33,2,Unsprayed,Fertilized,Polyculture,TRFL_Polyculture,Sep-12,0,1,10,1
2_34,2,Unsprayed,Unfertilized,Monoculture,ANVI_Monoculture,Sep-12,0,0,9,0
2_35,2,Unsprayed,Fertilized,Polyculture,SOPI_Polyculture,Sep-12,0,0,7,0
2_36,2,Sprayed,Fertilized,Polyculture,PAAN_Polyculture,Sep-12,0,0,13,0
2_38,2,Sprayed,Fertilized,Monoculture,TRFL_Monoculture,Sep-12,0,1,9,1
2_39,2,Unsprayed,Unfertilized,Polyculture,ANVI_Polyculture,Sep-12,0,0,9,0
2_4,2,Unsprayed,Fertilized,Polyculture,PAAN_Polyculture,Sep-12,0,0,13,0
2_40,2,Sprayed,Fertilized,Monoculture,SOPI_Monoculture,Sep-12,0,1,11,1
2_41,2,Unsprayed,Fertilized,Monoculture,SOPI_Monoculture,Sep-12,0,0,10,0
2_44,2,Sprayed,Unfertilized,Polyculture,ANVI_Polyculture,Sep-12,0,0,9,0
2_46,2,Sprayed,Fertilized,Monoculture,SCIN_Monoculture,Sep-12,0,1,13,1
2_48,2,Sprayed,Unfertilized,Polyculture,PAAN_Polyculture,Sep-12,0,0,12,0
2_49,2,Unsprayed,Fertilized,Polyculture,SCIN_Polyculture,Sep-12,0,0,11,0
2_5,2,Unsprayed,Unfertilized,Polyculture,PAAN_Polyculture,Sep-12,0,0,10,0
2_51,2,Unsprayed,Fertilized,Monoculture,ANVI_Monoculture,Sep-12,0,0,12,0
2_52,2,Sprayed,Fertilized,Monoculture,SEPA_Monoculture,Sep-12,0,0,13,0
